Name,PF Name,Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34
CHAPX3_LAHO3B_1,CHAPX3_LAHO3B_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.963046950114654,8.958088830066472,6.727630725948104,6.724614012119471,4.473974702780045,4.478496958080879,4.469379944024162,4.455523441131642,4.45583525883069,4.455832076991793,15.944882357023896,14.467242482652331,14.467242482652331,14.497556775576317
LOBI3B_MOFTT2_1,LOBI3B_MOFTT2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.04602843647308,20.544484703805672,20.73820216543648,23.450802639050615,23.451747640114707,23.44350488870756,23.44350488870756,23.497169907635655
CHAP3-_LOBI3B_1,CHAP3-_LOBI3B_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.74954782400961,55.902848209369004,59.75091780642233,47.192272597994005,49.633812312619064,49.988128019924204,49.990091462688305,49.972964679347385,49.972964679347385,50.03598917009023
CHAPX4_KIBAT1_1,CHAPX4_KIBAT1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31575454716088,12.659916873434069,8.292360698816974,8.219769071458417,8.228144446336785,8.228477184858367,8.22557479079505,8.22557479079505,8.237090478840944
CHAPX4_MOFTT1_1,CHAPX4_MOFTT1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.395434853850453,19.834926672432747,12.814548745440396,12.693986045792746,11.536159555054912,11.53661766803444,11.53262175423754,11.53262175423754,11.545262170713183
CHAP3-_CHAPX3_1,CHAP3-_CHAPX3_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.984298490035311,8.979764793930647,6.858904805982313,6.8563068869472845,4.785459402787899,4.788696957140082,4.782174589416381,4.7722970836845215,4.772518886226954,4.772516622594074,16.133883803554017,24.335839115060327,24.335839115060327,24.376617710185123
GRNA3A_GRNAT1_1,GRNA3A_GRNAT1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007367448760833524,0.0007371401568388807,0.0007333944999252511,0.0007337161437570784,0.0007325541334890789,0.0007318242513009638,0.0007332972733331359,0.0007355477942382828,0.000735496996601268,0.0007354975112182554,0.0007482772787039924,0.23914215158935934,0.23914215158935934,0.23937670297744967
LOBI3A_LOBIT1_1,LOBI3A_LOBIT1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583807873399576,1.5848727564244343,1.1606504881660173,0.779794051185682,0.7704403513897143,0.7615433219918326,0.733057515784662,0.7470240515249116,0.747055134762558,0.746784000804017,0.746784000804017,0.7479550678409189
MIBI3-_MIBIT1_1,MIBI3-_MIBIT1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0435128398913367,0.5147937421780635,0.5309256556496026,0.5273967279514722,0.5217711114534599,0.5213937577526327,0.5242036600796726,0.5233624143565967,0.5248160277357246,0.5251979834836192,0.524427764133381,0.5232557361935193,0.5232821292966612,0.5232818599702279,0.5217631197562883,0.5218792647822214,0.5218792647822214,0.5223697528626856
GRNA3B_GRNAT2_1,GRNA3B_GRNAT2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4961863433783238,1.0961994023908517,1.095564777189475,0.7256129693672146,0.7252839339366133,0.7281546522764524,0.728910063031119,0.7273872310432946,0.7250735140483743,0.7251255704489099,0.7251250392667824,0.725153248557816,0.4856392074489835,0.4856392074489835,0.48633098833624083
